filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,H_strg,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u_star,TKE,L,(z-d)/L,bowen_ratio,T_star,model,x_peak,x_offset,x_10,x_30,x_50,x_70,x_90,un_Tau,Tau_scf,un_H,H_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,u_var,v_var,w_var,ts_var,w/ts_cov,u_mean,v_mean,w_mean,ts_mean,u_mean.1,v_mean.1,w_mean.1,ts_mean.1
FINO_MGC__2006_02_01_00_30.txt,2006-02-01,00:30,32.0208,0,6000,6000,-0.254392,1,-11.0048,2,-2.88919,274.114,274.114,101300.0,1.28746,1005.17,0.0224974,-9999,-9999,-9999,653.46,-9999,-9999,-9999,-9999,-0.0959755,2.31977,0.147768,2.32645,1.61303e-14,-5.88262e-15,2.32645,4.85609,340.095,92.3691,3.64168,-9999,0.444512,1.02976,701.328,0.0570347,-9999,0.0191303,0,1170.05,-177.56,401.641,1000.14,1525.28,2139.23,3204.95,-0.231723,1.09783,-10.5328,1.04481,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,2,2,0,5,1.09629,0.804998,0.158233,0.00189594,-0.00813897,-1.14395,2.02269,0.192699,272.882,-1.44641,-1.75778,0.209462,273.694
FINO_MGC__2006_02_01_01_30.txt,2006-02-01,01:30,32.0624,0,6000,6000,0.187445,1,3.81628,1,-5.26839,273.969,273.969,101300.0,1.28815,1005.17,0.0224855,-9999,-9999,-9999,646.664,-9999,-9999,-9999,-9999,0.497903,1.78462,-0.0723381,1.85418,-1.65147e-14,1.02442e-16,1.85418,3.75155,357.276,74.4111,-2.23587,-9999,0.381465,0.44001,-1278.13,-0.0312958,-9999,-0.00772646,0,1034.37,-156.97,355.066,884.164,1348.41,1891.16,2833.3,0.144572,1.29655,3.2166,1.18643,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,3,0.593896,0.12754,0.158585,0.00183359,0.00248423,-0.549485,1.71746,-0.04415,272.725,-1.4536,-1.13672,-0.0549042,273.59
FINO_MGC__2006_02_01_02_30.txt,2006-02-01,02:30,32.1041,0,6000,6000,0.0984991,1,1.51747,1,1.18736,273.741,273.741,101300.0,1.28922,1005.17,0.0224667,-9999,-9999,-9999,636.079,-9999,-9999,-9999,-9999,0.0800601,1.36352,0.123236,1.37142,-5.66754e-15,-1.23267e-14,1.37142,2.64998,346.569,86.6397,5.15557,-9999,0.276409,0.363831,-1222.88,-0.0327097,-9999,-0.00423646,0,730.107,-110.797,250.622,624.085,951.768,1334.87,1999.88,0.0714777,1.37804,1.22682,1.23692,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,1,0,3,0.171108,0.357633,0.198921,0.000798202,0.000946705,-0.41464,1.29038,0.0644892,272.326,-0.932902,-0.908164,0.0556057,273.299
FINO_MGC__2006_02_01_03_30.txt,2006-02-01,03:30,32.1458,0,6000,6000,0.078107,1,-1.79673,1,-4.33037,273.693,273.693,101300.0,1.28945,1005.17,0.0224628,-9999,-9999,-9999,633.888,-9999,-9999,-9999,-9999,-1.67379,0.150075,-0.0488597,1.68122,-1.22005e-14,1.27116e-14,1.68122,3.42813,257.694,174.876,-1.66537,-9999,0.246118,0.504759,729.114,0.0548611,-9999,0.00563246,0,488.97,-74.2031,167.848,417.964,637.422,893.994,1339.37,0.0686753,1.13734,-1.69196,1.06192,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,2,0,0,4,0.22,0.359862,0.429658,0.000508842,-0.00130541,-1.53827,-0.314695,-0.0697683,272.309,0.992266,-1.23369,-0.0677678,273.259
FINO_MGC__2006_02_01_04_30.txt,2006-02-01,04:30,32.1874,0,6000,6000,-0.112343,1,2.64826,0,-1.27227,273.564,273.564,101300.0,1.29005,1005.16,0.0224522,-9999,-9999,-9999,627.999,-9999,-9999,-9999,-9999,-2.10353,0.35581,0.110353,2.13627,-1.19755e-14,7.81211e-15,2.13627,3.71096,261.569,170.399,2.96103,-9999,0.2951,0.337402,-852.693,-0.0469102,-9999,-0.00692064,0,858.319,-130.253,294.633,733.678,1118.91,1569.28,2351.07,-0.0888889,1.26386,2.27105,1.16609,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,5,0.300192,0.223306,0.151307,0.00101474,0.00175138,-2.13783,-0.387369,0.0256987,272.114,1.20979,-1.70139,0.116516,273.195
FINO_MGC__2006_02_01_05_30.txt,2006-02-01,05:30,32.2291,0,5997,5997,-0.167998,1,10.0147,1,-0.148149,273.354,273.354,101300.0,1.29105,1005.16,0.022435,-9999,-9999,-9999,618.508,-9999,-9999,-9999,-9999,-1.22309,1.67739,0.247087,2.0906,-3.64884e-14,-2.1588e-14,2.0906,3.6925,304.204,126.098,6.78763,-9999,0.360729,0.555161,-411.86,-0.0971205,-9999,-0.0213934,0,917.669,-139.26,315.006,784.41,1196.27,1677.79,2513.64,-0.132424,1.26863,8.56642,1.16907,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,2,0,0,2,0.202858,0.716175,0.191288,0.00185736,0.00660118,-1.78331,0.867791,0.254763,271.794,-0.24843,-1.99707,0.246105,272.883
FINO_MGC__2006_02_01_06_30.txt,2006-02-01,06:30,32.2707,0,5997,5997,0.161698,1,14.2834,1,-2.86859,273.283,273.283,101300.0,1.29138,1005.16,0.0224292,-9999,-9999,-9999,615.325,-9999,-9999,-9999,-9999,-0.900787,1.84933,-0.30017,2.07883,-2.17513e-14,1.78012e-14,2.07883,3.67338,317.936,115.97,-8.30218,-9999,0.353855,0.426349,-272.577,-0.146747,-9999,-0.0310968,0,974.121,-147.827,334.384,832.664,1269.86,1781.0,2668.27,0.127332,1.26989,12.2096,1.16985,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,0,0.462981,0.231168,0.158548,0.00155748,0.0094061,-1.56605,1.1584,-0.450655,271.566,-0.563068,-1.98596,-0.289715,272.665
FINO_MGC__2006_02_01_07_30.txt,2006-02-01,07:30,32.3124,0,5997,5997,0.0366345,1,5.65097,1,1.32011,273.253,273.253,101300.0,1.29152,1005.16,0.0224267,-9999,-9999,-9999,613.978,-9999,-9999,-9999,-9999,-2.02019,1.77007,-0.0509793,2.68643,-5.23476e-14,-1.93322e-15,2.68643,4.35677,292.312,138.775,-1.08734,-9999,0.16842,0.508807,-74.2856,-0.538462,-9999,-0.0258458,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.030086,1.21766,4.9688,1.13729,800009999,800009999,800009999,800009999,800009999,810019999,899999999,899999999,89999,89999,89,89,0,1,0,10,0.610604,0.255689,0.151321,0.00100943,0.00382749,-2.50458,1.0537,-0.156165,271.487,0.110142,-2.6923,-0.0174624,272.558
FINO_MGC__2006_02_01_08_30.txt,2006-02-01,08:30,32.3541,1,5997,5997,0.22835,1,10.8761,1,-2.51365,273.12,273.12,101300.0,1.29215,1005.16,0.0224158,-9999,-9999,-9999,608.111,-9999,-9999,-9999,-9999,-0.300147,0.99918,0.0455958,1.04428,-5.77285e-15,-8.95341e-15,1.04428,2.4002,326.364,106.72,2.50246,-9999,0.420382,0.313191,-600.211,-0.0666432,-9999,-0.0199197,0,925.672,-140.474,317.753,791.251,1206.71,1692.42,2535.56,0.155635,1.46721,8.41951,1.29177,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,1,0.218313,0.153861,0.254207,0.00135126,0.00648246,-0.726126,0.337138,-0.0735564,271.325,-0.183974,-0.853825,0.0464609,272.314
FINO_MGC__2006_02_01_09_30.txt,2006-02-01,09:30,32.3957,1,5997,5997,0.0335095,0,1.19794,0,1.38623,273.15,273.15,101300.0,1.29201,1005.16,0.0224182,-9999,-9999,-9999,609.4,-9999,-9999,-9999,-9999,-1.04716,1.03451,-0.039519,1.47252,-2.24047e-14,-4.51981e-15,1.47252,3.16661,296.145,135.348,-1.53787,-9999,0.161046,0.209554,-306.381,-0.130556,-9999,-0.00572774,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0246888,1.35728,0.978641,1.22408,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,1,1,0,3,0.281662,0.0650395,0.0724072,0.000291441,0.000753568,-1.41994,0.29704,-0.164835,271.524,0.19408,-1.46528,-0.0535544,272.506
