filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,H_strg,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u_star,TKE,L,(z-d)/L,bowen_ratio,T_star,model,x_peak,x_offset,x_10,x_30,x_50,x_70,x_90,un_Tau,Tau_scf,un_H,H_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,u_var,v_var,w_var,ts_var,w/ts_cov,u_mean,v_mean,w_mean,ts_mean,u_mean.1,v_mean.1,w_mean.1,ts_mean.1
FINO_MGC__2006_02_01_00_40.txt,2006-02-01,00:40,32.0277,0,5997,5997,-0.102782,0,3.68338,0,-4.12175,274.067,274.067,101300.0,1.28769,1005.17,0.0224935,-9999,-9999,-9999,651.214,-9999,-9999,-9999,-9999,-1.0878,2.54463,0.0591074,2.76802,-2.04805e-14,2.61567e-15,2.76802,4.6227,319.15,113.146,1.22357,-9999,0.282523,0.39499,-537.976,-0.0743528,-9999,-0.0100726,0,841.31,-127.672,288.794,719.139,1096.73,1538.18,2304.48,-0.0847899,1.2122,3.24848,1.13388,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,1,0,3,0.47921,0.164969,0.1458,0.000660052,0.00250974,-2.02151,1.86775,0.0475786,272.846,-0.902435,-2.50494,0.116978,273.726
FINO_MGC__2006_02_01_01_40.txt,2006-02-01,01:40,32.0694,0,5997,5997,-0.0781129,1,-0.22177,2,-4.75978,273.914,273.914,101300.0,1.28841,1005.17,0.022481,-9999,-9999,-9999,644.096,-9999,-9999,-9999,-9999,0.587151,1.27344,-0.0145086,1.40235,1.09435e-14,1.07124e-14,1.40235,2.46523,7.94532,65.2467,-0.592786,-9999,0.246227,0.208513,5914.96,0.00676251,-9999,0.000695465,0,891.623,-135.307,306.065,762.146,1162.32,1630.17,2442.29,-0.0641166,1.21829,-0.203021,1.09235,800009999,800009999,800009999,800009999,800009999,810009999,899999999,899999999,89999,89999,89,89,0,0,0,2,0.0797079,0.241541,0.0957766,0.000385871,-0.000156765,-0.0360468,1.42966,0.0487091,272.684,-1.30873,-0.460963,0.0473196,273.53
FINO_MGC__2006_02_01_02_40.txt,2006-02-01,02:40,32.111,0,5997,5997,-0.0659548,1,3.06562,0,-0.784574,273.732,273.732,101300.0,1.28926,1005.17,0.022466,-9999,-9999,-9999,635.661,-9999,-9999,-9999,-9999,0.546003,0.731387,0.0610592,0.914754,-1.24172e-15,-2.99297e-15,0.914754,2.1643,17.29,53.2575,3.8273,-9999,0.226179,0.158064,-331.655,-0.120607,-9999,-0.0104589,0,849.415,-128.902,291.577,726.067,1107.3,1553.0,2326.68,-0.0434931,1.51644,2.31917,1.32186,800009999,800009999,800009999,800009999,800009999,810019999,899999999,899999999,89999,89999,89,89,1,1,0,1,0.113495,0.111401,0.091232,0.000545287,0.00178959,-0.139986,0.851913,0.0222966,272.355,-0.863519,-0.342633,0.038184,273.287
FINO_MGC__2006_02_01_03_40.txt,2006-02-01,03:40,32.1527,0,5997,5997,0.12438,1,-1.07636,1,1.30007,273.708,273.708,101300.0,1.28938,1005.17,0.0224641,-9999,-9999,-9999,634.578,-9999,-9999,-9999,-9999,-1.99703,0.782434,-0.0733235,2.14609,-7.96128e-15,7.68608e-15,2.14609,4.07467,273.638,158.605,-1.95795,-9999,0.310589,0.440614,2445.97,0.0163534,-9999,0.00267394,0,919.824,-139.587,315.746,786.252,1199.08,1681.73,2519.54,0.109987,1.13087,-1.01806,1.05726,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,2,0,0,0,0.464084,0.276166,0.140979,0.000310257,-0.000785516,-2.04301,-0.237771,-0.227491,272.291,0.901085,-1.88376,-0.103258,273.25
FINO_MGC__2006_02_01_04_40.txt,2006-02-01,04:40,32.1944,0,5997,5997,0.0927269,1,6.16006,0,-5.01302,273.506,273.506,101300.0,1.29033,1005.16,0.0224475,-9999,-9999,-9999,625.368,-9999,-9999,-9999,-9999,-1.92237,0.79994,-0.110753,2.08511,2.88073e-14,3.26761e-15,2.08511,3.3223,275.724,157.407,-3.04477,-9999,0.268073,0.281828,-274.802,-0.145559,-9999,-0.0177172,0,786.315,-119.326,269.916,672.13,1025.04,1437.63,2153.84,0.0730584,1.26922,5.26757,1.16943,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,2,0,1,0.252905,0.155313,0.155438,0.000769668,0.00406138,-1.68516,-0.0507966,-0.403283,271.991,0.709435,-1.72853,-0.198413,273.164
FINO_MGC__2006_02_01_05_40.txt,2006-02-01,05:40,32.236,0,6000,6000,0.0449155,1,2.78376,0,3.01177,273.389,273.389,101300.0,1.29088,1005.16,0.0224379,-9999,-9999,-9999,620.071,-9999,-9999,-9999,-9999,-1.34864,1.66065,0.148461,2.14445,5.24066e-15,5.03464e-15,2.14445,3.26049,303.231,129.081,3.96979,-9999,0.186533,0.208609,-204.87,-0.195245,-9999,-0.0115015,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.035562,1.26302,2.38832,1.16557,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,2,0.0676461,0.263305,0.0862671,0.000890666,0.00184065,-2.04111,0.752495,0.187722,271.821,-0.0425205,-2.20884,0.235277,272.853
FINO_MGC__2006_02_01_06_40.txt,2006-02-01,06:40,32.2777,0,6000,6000,0.0462543,0,8.64829,0,0.463912,273.288,273.288,101300.0,1.29136,1005.16,0.0224296,-9999,-9999,-9999,615.564,-9999,-9999,-9999,-9999,-0.610565,2.68227,0.033911,2.75109,-1.41612e-14,5.72933e-15,2.75109,4.22875,328.983,102.824,0.706267,-9999,0.189258,0.302557,-68.8771,-0.580744,-9999,-0.0352043,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0381225,1.21331,7.62252,1.13457,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,1,0.268757,0.195326,0.141031,0.00158838,0.00587242,-1.78145,2.11063,0.0851656,271.552,-1.38333,-2.47098,0.101779,272.652
FINO_MGC__2006_02_01_07_40.txt,2006-02-01,07:40,32.3193,0,6000,6000,0.0748508,1,-0.210683,2,-2.8043,273.22,273.22,101300.0,1.29168,1005.16,0.022424,-9999,-9999,-9999,612.536,-9999,-9999,-9999,-9999,-2.18459,0.654295,-0.0186931,2.28055,-6.26161e-15,2.82043e-15,2.28055,3.68863,267.242,163.327,-0.469645,-9999,0.240725,0.320968,5818.07,0.00687513,-9999,0.000674091,0,790.564,-119.971,271.375,675.762,1030.58,1445.4,2165.48,0.0662133,1.13045,-0.199418,1.05649,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,1,0,2,0.150605,0.367668,0.123664,0.000688415,-0.000153594,-2.22269,0.189522,-0.15871,271.471,0.859876,-2.04669,-0.0248404,272.558
FINO_MGC__2006_02_01_08_40.txt,2006-02-01,08:40,32.361,1,6000,6000,-0.0815936,1,10.3577,1,-6.62634,273.044,273.044,101300.0,1.29251,1005.16,0.0224096,-9999,-9999,-9999,604.739,-9999,-9999,-9999,-9999,-0.351043,-0.060529,0.088549,0.367063,1.42285e-14,5.05806e-15,0.367063,2.07246,252.17,189.783,13.9595,-9999,0.251253,0.288018,-134.559,-0.297268,-9999,-0.0317311,0,761.648,-115.583,261.449,651.046,992.886,1392.54,2086.27,-0.0411567,1.98251,6.48307,1.59766,800009999,800009999,800009999,800009999,800019999,800019999,899999999,899999999,89999,89999,89,89,0,0,0,1,0.288035,0.140131,0.147869,0.000911748,0.00499014,-1.00155,0.2744,-0.203788,271.337,0.0442607,-0.667026,-0.0464106,272.315
FINO_MGC__2006_02_01_09_40.txt,2006-02-01,09:40,32.4027,1,6000,6000,-0.129359,1,3.49617,1,-0.898795,273.139,273.139,101300.0,1.29206,1005.16,0.0224174,-9999,-9999,-9999,608.941,-9999,-9999,-9999,-9999,-1.59023,0.200055,0.0683056,1.60422,-2.32988e-14,-2.47421e-14,1.60422,2.87307,261.204,172.83,2.44032,-9999,0.316415,0.268143,-796.203,-0.0502385,-9999,-0.00850781,0,1095.7,-166.277,376.119,936.589,1428.36,2003.29,3001.29,-0.0970026,1.33357,2.89082,1.2094,800009999,800009999,800009999,800009999,800009999,800009999,899999999,899999999,89999,89999,89,89,0,0,0,7,0.294201,0.147609,0.0944771,0.000456698,0.00222589,-1.07138,-0.25898,-0.00747882,271.529,0.787972,-1.03617,0.0444709,272.499
